branch_,radius_spec,year_quarter,new_business_count,treatment_date,treatment_quarter,post
"Daley, Richard M.",0.5mi,2009Q3,7,2011-07-08,2011Q3,0
"Daley, Richard M.",0.5mi,2009Q4,4,2011-07-08,2011Q3,0
"Daley, Richard M.",0.5mi,2010Q1,6,2011-07-08,2011Q3,0
"Daley, Richard M.",0.5mi,2010Q2,4,2011-07-08,2011Q3,0
"Daley, Richard M.",0.5mi,2010Q3,2,2011-07-08,2011Q3,0
"Daley, Richard M.",0.5mi,2010Q4,2,2011-07-08,2011Q3,0
"Daley, Richard M.",0.5mi,2011Q1,9,2011-07-08,2011Q3,0
"Daley, Richard M.",0.5mi,2011Q2,10,2011-07-08,2011Q3,0
"Daley, Richard M.",0.5mi,2011Q3,9,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2011Q4,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2012Q1,8,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2012Q2,6,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2012Q3,7,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2012Q4,42,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2013Q1,8,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2013Q2,5,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2013Q3,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2013Q4,8,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2014Q1,15,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2014Q2,4,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2014Q3,9,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2014Q4,9,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2015Q1,6,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2015Q2,11,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2015Q3,8,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2015Q4,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2016Q1,8,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2016Q2,7,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2016Q3,5,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2016Q4,10,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2017Q1,7,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2017Q2,6,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2017Q3,7,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2017Q4,7,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2018Q1,4,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2018Q2,10,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2018Q3,5,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2018Q4,6,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2019Q1,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2019Q2,7,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2019Q3,5,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2019Q4,7,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2020Q1,7,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2020Q2,5,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2020Q3,1,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2020Q4,6,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2021Q1,7,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2021Q2,4,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2021Q3,8,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2021Q4,1,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2022Q1,5,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2022Q2,4,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2022Q3,5,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2022Q4,5,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2023Q1,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2023Q2,1,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2023Q3,6,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2023Q4,7,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2024Q1,0,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2024Q2,9,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2024Q3,4,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2024Q4,10,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2025Q1,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2025Q2,7,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2025Q3,6,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2025Q4,4,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2026Q1,4,2011-07-08,2011Q3,1
"Daley, Richard M.",0.5mi,2026Q2,5,2011-07-08,2011Q3,1
West Loop,0.25mi,2005Q1,10,2019-01-17,2019Q1,0
West Loop,0.25mi,2005Q2,20,2019-01-17,2019Q1,0
West Loop,0.25mi,2005Q3,7,2019-01-17,2019Q1,0
West Loop,0.25mi,2005Q4,13,2019-01-17,2019Q1,0
West Loop,0.25mi,2006Q1,11,2019-01-17,2019Q1,0
West Loop,0.25mi,2006Q2,17,2019-01-17,2019Q1,0
West Loop,0.25mi,2006Q3,14,2019-01-17,2019Q1,0
West Loop,0.25mi,2006Q4,23,2019-01-17,2019Q1,0
West Loop,0.25mi,2007Q1,13,2019-01-17,2019Q1,0
West Loop,0.25mi,2007Q2,28,2019-01-17,2019Q1,0
West Loop,0.25mi,2007Q3,20,2019-01-17,2019Q1,0
West Loop,0.25mi,2007Q4,13,2019-01-17,2019Q1,0
West Loop,0.25mi,2008Q1,3,2019-01-17,2019Q1,0
West Loop,0.25mi,2008Q2,32,2019-01-17,2019Q1,0
West Loop,0.25mi,2008Q3,12,2019-01-17,2019Q1,0
West Loop,0.25mi,2008Q4,8,2019-01-17,2019Q1,0
West Loop,0.25mi,2009Q1,4,2019-01-17,2019Q1,0
West Loop,0.25mi,2009Q2,29,2019-01-17,2019Q1,0
West Loop,0.25mi,2009Q3,13,2019-01-17,2019Q1,0
West Loop,0.25mi,2009Q4,13,2019-01-17,2019Q1,0
West Loop,0.25mi,2010Q1,13,2019-01-17,2019Q1,0
West Loop,0.25mi,2010Q2,36,2019-01-17,2019Q1,0
West Loop,0.25mi,2010Q3,8,2019-01-17,2019Q1,0
West Loop,0.25mi,2010Q4,13,2019-01-17,2019Q1,0
West Loop,0.25mi,2011Q1,8,2019-01-17,2019Q1,0
West Loop,0.25mi,2011Q2,21,2019-01-17,2019Q1,0
West Loop,0.25mi,2011Q3,8,2019-01-17,2019Q1,0
West Loop,0.25mi,2011Q4,11,2019-01-17,2019Q1,0
West Loop,0.25mi,2012Q1,16,2019-01-17,2019Q1,0
West Loop,0.25mi,2012Q2,18,2019-01-17,2019Q1,0
West Loop,0.25mi,2012Q3,17,2019-01-17,2019Q1,0
West Loop,0.25mi,2012Q4,40,2019-01-17,2019Q1,0
West Loop,0.25mi,2013Q1,5,2019-01-17,2019Q1,0
West Loop,0.25mi,2013Q2,26,2019-01-17,2019Q1,0
West Loop,0.25mi,2013Q3,11,2019-01-17,2019Q1,0
West Loop,0.25mi,2013Q4,13,2019-01-17,2019Q1,0
West Loop,0.25mi,2014Q1,14,2019-01-17,2019Q1,0
West Loop,0.25mi,2014Q2,20,2019-01-17,2019Q1,0
West Loop,0.25mi,2014Q3,17,2019-01-17,2019Q1,0
West Loop,0.25mi,2014Q4,14,2019-01-17,2019Q1,0
West Loop,0.25mi,2015Q1,8,2019-01-17,2019Q1,0
West Loop,0.25mi,2015Q2,26,2019-01-17,2019Q1,0
West Loop,0.25mi,2015Q3,10,2019-01-17,2019Q1,0
West Loop,0.25mi,2015Q4,18,2019-01-17,2019Q1,0
West Loop,0.25mi,2016Q1,15,2019-01-17,2019Q1,0
West Loop,0.25mi,2016Q2,19,2019-01-17,2019Q1,0
West Loop,0.25mi,2016Q3,19,2019-01-17,2019Q1,0
West Loop,0.25mi,2016Q4,20,2019-01-17,2019Q1,0
West Loop,0.25mi,2017Q1,18,2019-01-17,2019Q1,0
West Loop,0.25mi,2017Q2,20,2019-01-17,2019Q1,0
West Loop,0.25mi,2017Q3,29,2019-01-17,2019Q1,0
West Loop,0.25mi,2017Q4,30,2019-01-17,2019Q1,0
West Loop,0.25mi,2018Q1,11,2019-01-17,2019Q1,0
West Loop,0.25mi,2018Q2,28,2019-01-17,2019Q1,0
West Loop,0.25mi,2018Q3,26,2019-01-17,2019Q1,0
West Loop,0.25mi,2018Q4,16,2019-01-17,2019Q1,0
West Loop,0.25mi,2019Q1,15,2019-01-17,2019Q1,1
West Loop,0.25mi,2019Q2,30,2019-01-17,2019Q1,1
West Loop,0.25mi,2019Q3,18,2019-01-17,2019Q1,1
West Loop,0.25mi,2019Q4,19,2019-01-17,2019Q1,1
West Loop,0.25mi,2020Q1,19,2019-01-17,2019Q1,1
West Loop,0.25mi,2020Q2,11,2019-01-17,2019Q1,1
West Loop,0.25mi,2020Q3,6,2019-01-17,2019Q1,1
West Loop,0.25mi,2020Q4,13,2019-01-17,2019Q1,1
West Loop,0.25mi,2021Q1,10,2019-01-17,2019Q1,1
West Loop,0.25mi,2021Q2,17,2019-01-17,2019Q1,1
West Loop,0.25mi,2021Q3,15,2019-01-17,2019Q1,1
West Loop,0.25mi,2021Q4,9,2019-01-17,2019Q1,1
West Loop,0.25mi,2022Q1,18,2019-01-17,2019Q1,1
West Loop,0.25mi,2022Q2,19,2019-01-17,2019Q1,1
West Loop,0.25mi,2022Q3,15,2019-01-17,2019Q1,1
West Loop,0.25mi,2022Q4,20,2019-01-17,2019Q1,1
West Loop,0.25mi,2023Q1,12,2019-01-17,2019Q1,1
West Loop,0.25mi,2023Q2,25,2019-01-17,2019Q1,1
West Loop,0.25mi,2023Q3,16,2019-01-17,2019Q1,1
West Loop,0.25mi,2023Q4,11,2019-01-17,2019Q1,1
West Loop,0.25mi,2024Q1,13,2019-01-17,2019Q1,1
West Loop,0.25mi,2024Q2,13,2019-01-17,2019Q1,1
West Loop,0.25mi,2024Q3,14,2019-01-17,2019Q1,1
West Loop,0.25mi,2024Q4,19,2019-01-17,2019Q1,1
West Loop,0.25mi,2025Q1,11,2019-01-17,2019Q1,1
West Loop,0.25mi,2025Q2,17,2019-01-17,2019Q1,1
West Loop,0.25mi,2025Q3,23,2019-01-17,2019Q1,1
West Loop,0.25mi,2025Q4,12,2019-01-17,2019Q1,1
West Loop,0.25mi,2026Q1,13,2019-01-17,2019Q1,1
West Loop,0.25mi,2026Q2,25,2019-01-17,2019Q1,1
West Loop,0.5mi,2005Q1,17,2019-01-17,2019Q1,0
West Loop,0.5mi,2005Q2,45,2019-01-17,2019Q1,0
West Loop,0.5mi,2005Q3,15,2019-01-17,2019Q1,0
West Loop,0.5mi,2005Q4,27,2019-01-17,2019Q1,0
West Loop,0.5mi,2006Q1,34,2019-01-17,2019Q1,0
West Loop,0.5mi,2006Q2,29,2019-01-17,2019Q1,0
West Loop,0.5mi,2006Q3,28,2019-01-17,2019Q1,0
West Loop,0.5mi,2006Q4,39,2019-01-17,2019Q1,0
West Loop,0.5mi,2007Q1,46,2019-01-17,2019Q1,0
West Loop,0.5mi,2007Q2,60,2019-01-17,2019Q1,0
West Loop,0.5mi,2007Q3,52,2019-01-17,2019Q1,0
West Loop,0.5mi,2007Q4,33,2019-01-17,2019Q1,0
West Loop,0.5mi,2008Q1,17,2019-01-17,2019Q1,0
West Loop,0.5mi,2008Q2,59,2019-01-17,2019Q1,0
West Loop,0.5mi,2008Q3,47,2019-01-17,2019Q1,0
West Loop,0.5mi,2008Q4,27,2019-01-17,2019Q1,0
West Loop,0.5mi,2009Q1,28,2019-01-17,2019Q1,0
West Loop,0.5mi,2009Q2,63,2019-01-17,2019Q1,0
West Loop,0.5mi,2009Q3,40,2019-01-17,2019Q1,0
West Loop,0.5mi,2009Q4,30,2019-01-17,2019Q1,0
West Loop,0.5mi,2010Q1,35,2019-01-17,2019Q1,0
West Loop,0.5mi,2010Q2,66,2019-01-17,2019Q1,0
West Loop,0.5mi,2010Q3,62,2019-01-17,2019Q1,0
West Loop,0.5mi,2010Q4,36,2019-01-17,2019Q1,0
West Loop,0.5mi,2011Q1,26,2019-01-17,2019Q1,0
